id,czech,translation,pronunciation,audio,sequence,level_id,part_id,language_id
11035,dědeček,grandfather,ɡɹˈændfɑːðɚ,grandfather,47,1,,1
11036,babička,grandmother,ɡɹˈændmʌðɚ,grandmother,48,1,,1
11037,vnuk,grandson,ɡɹˈændsʌn,grandson,49,1,,1
11038,vnučka,granddaughter,ɡɹˈændɔːɾɚ,granddaughter,50,1,,1
11039,sestřenice,cousin,kˈʌzən,cousin,51,1,,1
11040,bratranec,cousin,kˈʌzən,cousin,52,1,,1
11041,synovec,nephew,nˈɛfjuː,nephew,53,1,,1
11042,neteř,niece,nˈiːs,niece,54,1,,1
11043,ráno,morning,mˈɔːɹnɪŋ,morning,55,1,,1
11044,poledne,noon,nˈuːn,noon,56,1,,1
11045,odpoledne,afternoon,ˌæftɚnˈuːn,afternoon,57,1,,1
11046,večer,evening,ˈiːvnɪŋ,evening,58,1,,1
11047,noc,night,nˈaɪt,night,59,1,,1
11048,půlnoc,midnight,mˈɪdnaɪt,midnight,60,1,,1
11049,rodič,parent,pˈɛɹənt,parent,61,1,,1
11050,jít,go,ɡˈoʊ,go,62,1,,1
11051,být,be,bˈiː,be,63,1,,1
11052,dělat,do,dˈuː,do,64,1,,1
11053,mít,have,hˈæv,have,65,1,,1
11054,otevřít,open,ˈoʊpən,open,66,1,,1
11055,otázka,question,kwˈɛstʃən,question,67,1,,1
11056,místnost,room,ɹˈuːm,room,68,1,,1
11057,říct,say,sˈeɪ,say,69,1,,1
11058,začít,start,stˈɑːɹt,start,70,1,,1
11059,dnes,today,tədˈeɪ,today,71,1,,1
11060,práce,work,wˈɜːk,work,72,1,,1
11061,pracovat,work,wˈɜːk,work,73,1,,1
11062,slovo,word,wˈɜːd,word,74,1,,1
11063,pomoc,help,hˈɛlp,help,75,1,,1
11064,pomáhat,help,hˈɛlp,help,76,1,,1
11065,židle,chair,tʃˈɛɹ,chair,77,1,,1
11066,znát,know,nˈoʊ,know,78,1,,1
11067,nový,new,nˈuː,new,79,1,,1
11068,papír,paper,pˈeɪpɚ,paper,80,1,,1
11069,prosím,please,plˈiːz,please,81,1,,1
11070,bohatý,rich,ɹˈɪtʃ,rich,82,1,,1
11071,ukázat,show,ʃˈoʊ,show,83,1,,1
11073,vždy,always,ˈɔːlweɪz,always,84,1,,1
11074,tělo,body,bˈɑːdi,body,85,1,,1
11075,opatrný,careful,kˈɛɹfəl,careful,86,1,,1
11076,plakat,cry,kɹˈaɪ,cry,87,1,,1
11077,dveře,door,dˈɔːɹ,door,88,1,,1
11078,všechno,everything,ˈɛvɹɪθˌɪŋ,everything,89,1,,1
11079,obličej,face,fˈeɪs,face,90,1,,1
11080,pokud,if,ˈɪf,if,91,1,,1
11081,mnoho,many,mˈɛni,many,92,1,,1
11082,pero,pen,pˈɛn,pen,93,1,,1
11083,pondělí,monday,mˈʌndeɪ,monday,94,1,,1
11085,úterý,tuesday,tˈuːzdeɪ,tuesday,95,1,,1
11086,středa,wednesday,wˈɛnzdeɪ,wednesday,96,1,,1
11087,čtvrtek,thursday,θˈɜːzdeɪ,thursday,97,1,,1
11088,pátek,friday,fɹˈaɪdeɪ,friday,98,1,,1
11089,sobota,saturday,sˈæɾɚdˌeɪ,saturday,99,1,,1
11090,neděle,sunday,sˈʌndeɪ,sunday,100,1,,1
11091,místo,place,plˈeɪs,place,101,1,,1
11092,silnice,road,ɹˈoʊd,road,102,1,,1
11093,zastavit,stop,stˈɑːp,stop,103,1,,1
11094,student,student,stˈuːdənt,student,104,1,,1
11095,chtít,want,wˈɔnt,want,105,1,,1
11096,odpověď,answer,ˈænsɚ,answer,106,1,,1
11097,jasný,clear,klˈɪɹ,clear,107,1,,1
11098,kancelář,office,ˈɑːfɪs,office,108,1,,1
11631,země,country,kˈʌntɹi,country,109,1,,1
11100,pohovka,sofa,sˈoʊfə,sofa,110,1,,1
11101,voda,water,wˈɔːɾɚ,water,111,1,,1
11102,hotel,hotel,hoʊtˈɛl,hotel,112,1,,1
11103,žíznivý,thirsty,θˈɜːsti,thirsty,113,1,,1
11104,tanec,dance,dˈæns,dance,114,1,,1
11105,každý,each,ˈiːtʃ,each,115,1,,1
11106,práce,job,dʒˈɑːb,job,116,1,,1
11107,život,life,lˈaɪf,life,117,1,,1
11108,zeď,wall,wˈɔːl,wall,118,1,,1
11109,více,more,mˈɔːɹ,more,119,1,,1
11110,park,park,pˈɑːɹk,park,120,1,,1
11111,osoba,person,pˈɜːsən,person,121,1,,1
11112,připravený,ready,ɹˈɛdi,ready,122,1,,1
11113,brzy,soon,sˈuːn,soon,123,1,,1
11114,že,that,ðˈæt,that,124,1,,1
11115,schopen,able,ˈeɪbəl,able,125,1,,1
11116,před,before,bᵻfˈɔːɹ,before,126,1,,1
11117,ale,but,bˈʌt,but,127,1,,1
11118,kuchyně,kitchen,kˈɪtʃən,kitchen,128,1,,1
11168,kino,cinema,sˈɪnəmə,cinema,129,1,,1
11119,čistý,clean,klˈiːn,clean,130,1,,1
11120,podlaha,floor,flˈɔːɹ,floor,131,1,,1
11121,blízko,close,klˈoʊs,close,132,1,,1
11122,snít,dream,dɹˈiːm,dream,133,1,,1
11123,taška,bag,bˈæɡ,bag,134,1,,1
11124,jídlo,food,fˈuːd,food,135,1,,1
11125,zahrada,garden,ɡˈɑːɹdən,garden,136,1,,1
11126,ruka,hand,hˈænd,hand,137,1,,1
11127,uvnitř,inside,ɪnsˈaɪd,inside,138,1,,1
11128,teď,now,nˈaʊ,now,139,1,,1
11129,nebo,or,ˈɔːɹ,or,140,1,,1
11130,obrázek,picture,pˈɪktʃɚ,picture,141,1,,1
11131,řeka,river,ɹˈɪvɚ,river,142,1,,1
11132,loď,ship,ʃˈɪp,ship,143,1,,1
11133,obchod,shop,ʃˈɑːp,shop,144,1,,1
11134,sedět,sit,sˈɪt,sit,145,1,,1
11135,stůl,table,tˈeɪbəl,table,146,1,,1
11136,velmi,very,vˈɛɹi,very,147,1,,1
11137,psát,write,ɹˈaɪt,write,148,1,,1
11138,vzduch,air,ˈɛɹ,air,149,1,,1
11139,černý,black,blˈæk,black,150,1,,1
11140,stanice,station,stˈeɪʃən,station,151,1,,1
11141,z,from,fɹˈʌm,from,152,1,,1
11142,dobré,good,ɡˈʊd,good,153,1,,1
11143,hlava,head,hˈɛd,head,154,1,,1
11144,sýr,cheese,tʃˈiːz,cheese,155,1,,1
11145,knihovna,library,lˈaɪbɹɛɹi,library,156,1,,1
11146,důležitý,important,ɪmpˈɔːɹtənt,important,157,1,,1
11147,země,land,lˈænd,land,158,1,,1
11148,peníze,money,mˈʌni,money,159,1,,1
11149,platit,pay,pˈeɪ,pay,160,1,,1
11150,problém,problem,pɹˈɑːbləm,problem,161,1,,1
11151,běh,run,ɹˈʌn,run,162,1,,1
11152,stejný,same,sˈeɪm,same,163,1,,1
11153,vidět,see,sˈiː,see,164,1,,1
11154,poslat,send,sˈɛnd,send,165,1,,1
11155,věc,thing,θˈɪŋ,thing,166,1,,1
11156,jakýkoliv,any,ˈɛni,any,167,1,,1
11157,jako,as,ˈæz,as,168,1,,1
11158,lepší,better,bˈɛɾɚ,better,169,1,,1
11159,studený,cold,kˈoʊld,cold,170,1,,1
11160,jízdní kolo,bike,bˈaɪk,bike,171,1,,1
11161,přijít,come,kˈʌm,come,172,1,,1
11162,police,shelf,ʃˈɛlf,shelf,173,1,,1
11163,leden,January,dʒˈænjuːˌɛɹi,january,174,1,,1
11164,únor,February,fˈɛbɹuːˌɛɹi,february,175,1,,1
11165,březen,March,mˈɑːɹtʃ,march,176,1,,1
11166,duben,April,ˈeɪpɹəl,april,177,1,,1
11167,květen,May,mˈeɪ,may,178,1,,1
11170,červen,June,dʒˈuːn,june,179,1,,1
11171,červenec,July,dʒuːlˈaɪ,july,180,1,,1
11172,srpen,August,ˈɔːɡəst,august,181,1,,1
11173,září,September,sɛptˈɛmbɚ,september,182,1,,1
11174,říjen,October,ɑːktˈoʊbɚ,october,183,1,,1
11175,listopad,November,noʊvˈɛmbɚ,november,184,1,,1
11176,prosinec,December,dᵻsˈɛmbɚ,december,185,1,,1
11177,lékař,doctor,dˈɑːktɚ,doctor,186,1,,1
11178,trh,market,mˈɑːɹkɪt,market,187,1,,1
11179,najít,find,fˈaɪnd,find,188,1,,1
11180,koš,basket,bˈæskɪt,basket,189,1,,1
11181,hra,game,ɡˈeɪm,game,190,1,,1
11182,idea,idea,aɪdˈiə,idea,191,1,,1
11183,laskavý,kind,kˈaɪnd,kind,192,1,,1
11184,žít,live,lˈaɪv,live,193,1,,1
11185,udělat,make,mˈeɪk,make,194,1,,1
11186,mír,peace,pˈiːs,peace,195,1,,1
11187,oblíbený,popular,pˈɑːpjʊlɚ,popular,196,1,,1
11188,pravý,right,ɹˈaɪt,right,197,1,,1
11189,tak,so,sˈoʊ,so,198,1,,1
11190,některé,some,sˈʌm,some,199,1,,1
10790,tam,there,ðˈɛɹ,there,200,1,,1
11192,čekat,wait,wˈeɪt,wait,201,1,,1
11193,znovu,again,ɐɡˈɛn,again,202,1,,1
11194,zpět,back,bˈæk,back,203,1,,1
11195,mohl,could,kˈʊd,could,204,1,,1
11196,dokument,document,dˈɑːkjuːmənt,document,205,1,,1
11197,vejce,egg,ˈɛɡ,egg,206,1,,1
11198,oheň,fire,fˈaɪɚ,fire,207,1,,1
11199,dát,give,ɡˈɪv,give,208,1,,1
11260,šance,chance,tʃˈæns,chance,209,1,,1
11200,informace,information,ˌɪnfɚmˈeɪʃən,information,210,1,,1
11201,světlo,light,lˈaɪt,light,211,1,,1
11202,může,may,mˈeɪ,may,212,1,,1
11203,často,often,ˈɔfən,often,213,1,,1
11204,upřednostňovat,prefer,pɹɪfˈɜː,prefer,214,1,,1
11261,položit,put,pˈʊt,put,215,1,,1
11205,červený,red,ɹˈɛd,red,216,1,,1
11206,jaro,spring,spɹˈɪŋ,spring,217,1,,1
11207,léto,summer,sˈʌmɚ,summer,218,1,,1
11208,podzim,autumn,ˈɔːɾʌm,autumn,219,1,,1
11209,zima,winter,wˈɪntɚ,winter,220,1,,1
11210,kámen,stone,stˈoʊn,stone,221,1,,1
11211,takový,such,sˈʌtʃ,such,222,1,,1
11212,myslet,think,θˈɪŋk,think,223,1,,1
11213,rozumět,understand,ˌʌndɚstˈænd,understand,224,1,,1
11214,navštívit,visit,vˈɪzɪt,visit,225,1,,1
11262,okolo,around,ɚɹˈaʊnd,around,226,1,,1
11215,nejlepší,best,bˈɛst,best,227,1,,1
11216,v pořádku,ok,ˌoʊkˈeɪ,ok,228,1,,1
11217,volat,call,kˈɔːl,call,229,1,,1
11263,sekat,cut,kˈʌt,cut,230,1,,1
11218,film,movie,mˈuːvi,movie,231,1,,1
11219,večeře,dinner,dˈɪnɚ,dinner,232,1,,1
11220,dolů,down,dˈaʊn,down,233,1,,1
11221,vysvětlit,explain,ɛksplˈeɪn,explain,234,1,,1
11222,dostat,get,ɡˈɛt,get,235,1,,1
11223,zajímavý,interesting,ˈɪntɹɛstɪŋ,interesting,236,1,,1
11224,dlouhý,long,lˈɔŋ,long,237,1,,1
11225,pohyb,move,mˈuːv,move,238,1,,1
11479,učit (někoho),teach,tˈiːtʃ,teach,239,1,,1
11226,studium,study,stˈʌdi,study,240,1,,1
11227,matematika,math,mˈæθ,math,241,1,,1
11228,ven,out,ˈaʊt,out,242,1,,1
11229,stránka,page,pˈeɪdʒ,page,243,1,,1
11230,dosáhnout,reach,ɹˈiːtʃ,reach,244,1,,1
11231,odpočívat,rest,ɹˈɛst,rest,245,1,,1
11232,sada,set,sˈɛt,set,246,1,,1
11233,měl by,should,ʃˈʊd,should,247,1,,1
11234,stát,stand,stˈænd,stand,248,1,,1
11235,čas,time,tˈaɪm,time,249,1,,1
11236,spěchat,hurry,hˈɜːɹi,hurry,250,1,,1
11237,nahoru,up,ˈʌp,up,251,1,,1
11238,věk,age,ˈeɪdʒ,age,252,1,,1
11239,protože,because,bɪkˈʌz,because,253,1,,1
11240,fotoaparát,camera,kˈæmɹə,camera,254,1,,1
11241,město,city,sˈɪɾi,city,255,1,,1
11242,šaty,dress,dɹˈɛs,dress,256,1,,1
11243,svobodný,free,fɹˈiː,free,257,1,,1
11244,nemocný,ill,ˈɪl,ill,258,1,,1
11245,starý,old,ˈoʊld,old,259,1,,1
11246,policie,police,pəlˈiːs,police,260,1,,1
11247,pamatovat si,remember,ɹᵻmˈɛmbɚ,remember,261,1,,1
11248,kilometr,kilometer,kɪlˈɑːmɪɾɚ,kilometer,262,1,,1
11249,ulice,street,stɹˈiːt,street,263,1,,1
11250,učitel,teacher,tˈiːtʃɚ,teacher,264,1,,1
11251,hlas,voice,vˈɔɪs,voice,265,1,,1
11252,také,also,ˈɔːlsoʊ,also,266,1,,1
11253,třída,class,klˈæs,class,267,1,,1
11254,obtížný,difficult,dˈɪfɪkəlt,difficult,268,1,,1
11255,řídit,drive,dɹˈaɪv,drive,269,1,,1
11256,skvělý,great,ɡɹˈeɪt,great,270,1,,1
11257,šťastný,happy,hˈæpi,happy,271,1,,1
11258,změna,change,tʃˈeɪndʒ,change,272,1,,1
11259,šťáva,juice,dʒˈuːs,juice,273,1,,1
11264,potkat,meet,mˈiːt,meet,274,1,,1
11265,potřebovat,need,nˈiːd,need,275,1,,1
11266,hezký,pretty,pɹˈɪɾi,pretty,276,1,,1
11267,docela,quite,kwˈaɪt,quite,277,1,,1
11268,skutečný,real,ɹˈiːəl,real,278,1,,1
11269,smutný,sad,sˈæd,sad,279,1,,1
11270,káva,coffee,kˈɔfi,coffee,280,1,,1
11271,zpívat,sing,sˈɪŋ,sing,281,1,,1
11272,píseň,song,sˈɔŋ,song,282,1,,1
11273,oběd,lunch,lˈʌntʃ,lunch,283,1,,1
11274,každý,every,ˈɛvɹi,every,284,1,,1
11275,hvězda,star,stˈɑːɹ,star,285,1,,1
11276,brát,take,tˈeɪk,take,286,1,,1
11277,akce,action,ˈækʃən,action,287,1,,1
9529,čaj,tea,tˈiː,tea,288,1,,1
10791,sám,alone,ɐlˈoʊn,alone,289,1,,1
11279,snídaně,breakfast,bɹˈɛkfəst,breakfast,290,1,,1
11280,pokračovat,continue,kəntˈɪnjuː,continue,291,1,,1
11281,mrtvý,dead,dˈɛd,dead,292,1,,1
11282,užívat si,enjoy,ɛndʒˈɔɪ,enjoy,293,1,,1
11283,plný,full,fˈʊl,full,294,1,,1
11278,chodidlo,foot,fˈʊt,foot,295,1,,1
11284,míč,ball,bˈɔːl,ball,296,1,,1
11285,fotbal,football,fˈʊtbɔːl,football,297,1,,1
11286,košíková,basketball,bˈæskɪtbˌɔːl,basketball,298,1,,1
11287,cesta,journey,dʒˈɜːni,journey,299,1,,1
11288,hodně,much,mˈʌtʃ,much,300,1,,1
11350,nic,nothing,nˈʌθɪŋ,nothing,301,1,,1
11289,telefon,phone,fˈoʊn,phone,302,1,,1
11290,cena,price,pɹˈaɪs,price,303,1,,1
11291,výsledek,result,ɹɪzˈʌlt,result,304,1,,1
11292,slunce,sun,sˈʌn,sun,305,1,,1
11351,říci (někomu),tell,tˈɛl,tell,306,1,,1
11293,vyhlídka,view,vjˈuː,view,307,1,,1
11294,proti,against,ɐɡˈɛnst,against,308,1,,1
11295,autobus,bus,bˈʌs,bus,309,1,,1
11296,společnost,company,kˈʌmpəni,company,310,1,,1
11297,poušť,desert,dˈɛzɚt,desert,311,1,,1
11298,květina,flower,flˈaʊɚ,flower,312,1,,1
11299,zelený,green,ɡɹˈiːn,green,313,1,,1
11300,kostel,church,tʃˈɜːtʃ,church,314,1,,1
11301,možný,possible,pˈɑːsᵻbəl,possible,315,1,,1
11302,nemožný,impossible,ɪmpˈɑːsᵻbəl,impossible,316,1,,1
11303,odejít,leave,lˈiːv,leave,317,1,,1
10452,měsíc (kalendářní),month,mˈʌnθ,month,318,1,,1
11304,plán,plan,plˈæn,plan,319,1,,1
11305,šetřit,save,sˈeɪv,save,321,1,,1
11306,moře,sea,sˈiː,sea,322,1,,1
11307,něco,something,sˈʌmθɪŋ,something,323,1,,1
11308,společně,together,təɡˈɛðɚ,together,324,1,,1
11309,cokoliv,anything,ˈɛnɪθˌɪŋ,anything,325,1,,1
11310,armáda,army,ˈɑːɹmi,army,326,1,,1
11311,špatný,bad,bˈæd,bad,327,1,,1
11312,ne,not,nˈɑːt,not,328,1,,1
11313,pokrýt,cover,kˈʌvɚ,cover,329,1,,1
11314,poslouchat,listen,lˈɪsən,listen,330,1,,1
11315,kultura,culture,kˈʌltʃɚ,culture,331,1,,1
11316,rozhodnutí,decision,dᵻsˈɪʒən,decision,332,1,,1
11317,příběh,story,stˈɔːɹi,story,333,1,,1
11318,příklad,example,ɛɡzˈæmpəl,example,334,1,,1
11319,cítit,feel,fˈiːl,feel,335,1,,1
11320,jak,how,hˈaʊ,how,336,1,,1
11321,ostrov,island,ˈaɪlənd,island,337,1,,1
11322,člen,member,mˈɛmbɚ,member,338,1,,1
11323,další,next,nˈɛkst,next,339,1,,1
11324,rychlý,fast,fˈæst,fast,340,1,,1
11325,pozice,position,pəzˈɪʃən,position,342,1,,1
11326,přítomný,present,pɹˈɛzənt,present,343,1,,1
11327,sledovat,watch,wˈɑːtʃ,watch,344,1,,1
11328,záznam,record,ɹˈɛkɚd,record,345,1,,1
11329,spánek,sleep,slˈiːp,sleep,346,1,,1
11330,sladký,sweet,swˈiːt,sweet,347,1,,1
11331,zkusit,try,tɹˈaɪ,try,348,1,,1
11332,svět,world,wˈɜːld,world,349,1,,1
11333,poté,after,ˈæftɚ,after,350,1,,1
11334,postel,bed,bˈɛd,bed,351,1,,1
11335,koupit,buy,bˈaɪ,buy,352,1,,1
11336,chytit,catch,kˈætʃ,catch,353,1,,1
11337,roh,corner,kˈɔːɹnɚ,corner,354,1,,1
11338,vzdálenost,distance,dˈɪstəns,distance,355,1,,1
11339,vzdělání,education,ˌɛdʒuːkˈeɪʃən,education,356,1,,1
11340,zde,here,hˈɪɹ,here,357,1,,1
11341,zájem,interest,ˈɪntɹɛst,interest,358,1,,1
11342,dopis,letter,lˈɛɾɚ,letter,359,1,,1
11343,nikdy,never,nˈɛvɚ,never,360,1,,1
11344,část,part,pˈɑːɹt,part,361,1,,1
11346,president,president,pɹˈɛzɪdənt,president,362,1,,1
11352,kulatý,round,ɹˈaʊnd,round,363,1,,1
11347,několik,several,sˈɛvɹəl,several,364,1,,1
11348,zvuk,sound,sˈaʊnd,sound,365,1,,1
11353,mluvit (k někomu),talk,tˈɔːk,talk,366,1,,1
11349,týden,week,wˈiːk,week,367,1,,1
11355,téměř,almost,ˈɔːlmoʊst,almost,368,1,,1
9530,chléb,bread,bɹˈɛd,bread,369,1,,1
11356,ovládání,control,kəntɹˈoʊl,control,370,1,,1
11480,drahý (o někom),dear,dˈɪɹ,dear,371,1,,1
10810,několik,few,fjˈuː,few,372,1,,1
11357,zlato,gold,ɡˈoʊld,gold,373,1,,1
11358,šéf,chief,tʃˈiːf,chief,374,1,,1
11359,pozvat,invite,ɪnvˈaɪt,invite,375,1,,1
11360,pozdě,late,lˈeɪt,late,376,1,,1
11361,nejvíce,most,mˈoʊst,most,377,1,,1
11362,jen,only,ˈoʊnli,only,378,1,,1
11363,produkt,product,pɹˈɑːdʌkt,product,379,1,,1
11364,veřejný,public,pˈʌblɪk,public,380,1,,1
11365,obdržet,receive,ɹᵻsˈiːv,receive,381,1,,1
11366,omlouvám se,sorry,sˈɑːɹi,sorry,382,1,,1
11367,silný,strong,stɹˈɔŋ,strong,383,1,,1
11517,pak,then,ðˈɛn,then,384,1,,1
11519,"také, příliš",too,tˈuː,too,385,1,,1
11368,cesta,way,wˈeɪ,way,386,1,,1
11369,přes,across,əkɹˈɑːs,across,387,1,,1
11370,umění,art,ˈɑːɹt,art,388,1,,1
11371,donést,bring,bɹˈɪŋ,bring,389,1,,1
11372,nosit,carry,kˈæɹi,carry,390,1,,1
11373,potvrdit,confirm,kənfˈɜːm,confirm,391,1,,1
11374,umřít,die,dˈaɪ,die,392,1,,1
11375,skupina,group,ɡɹˈuːp,group,393,1,,1
11518,doufat,hope,hˈoʊp,hope,394,1,,1
11376,průmysl,industry,ˈɪndʌstɹi,industry,395,1,,1
11377,dívat se,look,lˈʊk,look,396,1,,1
11378,muset,must,mˈʌst,must,397,1,,1
11379,vlastní,own,ˈoʊn,own,398,1,,1
11380,osobní,personal,pˈɜːsənəl,personal,399,1,,1
11381,důvod,reason,ɹˈiːzən,reason,400,1,,1
11382,služba,service,sˈɜːvɪs,service,401,1,,1
11383,bude,shall,ʃˈæl,shall,402,1,,1
11384,zůstat,stay,stˈeɪ,stay,403,1,,1
11385,manželka,wife,wˈaɪf,wife,404,1,,1
11521,pryč,away,ɐwˈeɪ,away,405,1,,1
11386,krásný,beautiful,bjˈuːɾifəl,beautiful,406,1,,1
11387,pečovat,care,kˈɛɹ,care,407,1,,1
11388,cena,cost,kˈɔst,cost,408,1,,1
11520,hluboký,deep,dˈiːp,deep,409,1,,1
11389,dost,enough,ɪnˈʌf,enough,410,1,,1
11390,boj,fight,fˈaɪt,fight,411,1,,1
11391,garáž,garage,ɡɚɹˈɑːʒ,garage,412,1,,1
11392,dovnitř,into,ˈɪntʊ,into,413,1,,1
11522,nechat si,keep,kˈiːp,keep,414,1,,1
11393,minout,miss,mˈɪs,miss,415,1,,1
11394,jiný,other,ˈʌðɚ,other,416,1,,1
11395,hráč,player,plˈeɪɚ,player,417,1,,1
11523,spíše,rather,ɹˈæðɚ,rather,418,1,,1
11396,zůstat,remain,ɹᵻmˈeɪn,remain,419,1,,1
11397,pravda,true,tɹˈuː,true,421,1,,1
11398,použití,use,jˈuːs,use,422,1,,1
11399,kdo,who,hˈuː,who,423,1,,1
11400,již,already,ɔːlɹˈɛdi,already,424,1,,1
11401,stát se,become,bɪkˈʌm,become,425,1,,1
11402,protože,cause,kˈɔːz,cause,426,1,,1
11403,určitý,certain,sˈɜːʔn̩,certain,427,1,,1
11404,popsat,describe,dᵻskɹˈaɪb,describe,428,1,,1
11405,suchý,dry,dɹˈaɪ,dry,429,1,,1
11524,očekávat,expect,ɛkspˈɛkt,expect,430,1,,1
11429,fakt,fact,fˈækt,fact,431,1,,1
11406,zahrnovat,include,ɪŋklˈuːd,include,432,1,,1
11407,nechat,let,lˈɛt,let,433,1,,1
11408,moment,moment,mˈoʊmənt,moment,434,1,,1
11409,moc,power,pˈaʊɚ,power,435,1,,1
11410,poskytnout,provide,pɹəvˈaɪd,provide,436,1,,1
11411,zpráva,report,ɹᵻpˈɔːɹt,report,437,1,,1
11412,sedadlo,seat,sˈiːt,seat,438,1,,1
11413,jednotlivý,single,sˈɪŋɡəl,single,439,1,,1
11414,systém,system,sˈɪstəm,system,440,1,,1
11415,skrze,through,θɹˈuː,through,441,1,,1
11416,který,which,wˈɪtʃ,which,442,1,,1
11417,přátelský,friendly,fɹˈɛndli,friendly,443,1,,1
11418,modrý,blue,blˈuː,blue,444,1,,1
11419,kavárna,café,kæfˈeɪ,café,445,1,,1
11420,hodiny,clock,klˈɑːk,clock,446,1,,1
11421,barva,colour,kˈʌlɚ,colour,447,1,,1
11430,odlišný,different,dˈɪfɹənt,different,448,1,,1
11431,země,earth,ˈɜːθ,earth,449,1,,1
11477,film,film,fˈɪlm,film,450,1,,1
11488,rád,glad,ɡlˈæd,glad,451,1,,1
11490,hour,hour,ˈaʊɚ,hour,452,1,,1
11494,jen,just,dʒˈʌst,just,453,1,,1
11500,láska,love,lˈʌv,love,454,1,,1
11501,číslo,number,nˈʌmbɚ,number,455,1,,1
11503,tužka,pencil,pˈɛnsəl,pencil,456,1,,1
11505,rychlý,quick,kwˈɪk,quick,457,1,,1
11512,pršet,rain,ɹˈeɪn,rain,458,1,,1
11513,jednoduchý,simple,sˈɪmpəl,simple,459,1,,1
11514,město,town,tˈaʊn,town,460,1,,1
11515,strom,tree,tɹˈiː,tree,461,1,,1
11516,okno,window,wˈɪndoʊ,window,462,1,,1
11525,adresa,address,ɐdɹˈɛs,address,463,1,,1
11526,budova,building,bˈɪldɪŋ,building,464,1,,1
11527,počítač,computer,kəmpjˈuːɾɚ,computer,465,1,,1
11528,zkřížit,cross,kɹˈɔs,cross,466,1,,1
11529,stůl,desk,dˈɛsk,desk,467,1,,1
11530,ucho,ear,ˈɪɹ,ear,468,1,,1
11531,ryba,fish,fˈɪʃ,fish,469,1,,1
11532,sklo,glass,ɡlˈæs,glass,470,1,,1
11533,led,ice,ˈaɪs,ice,471,1,,1
11534,klíč,key,kˈiː,key,472,1,,1
11535,minuta,minute,mˈɪnɪt,minute,473,1,,1
11536,pošta,post,pˈoʊst,post,474,1,,1
11537,skála,rock,ɹˈɑːk,rock,475,1,,1
11538,hudba,music,mjˈuːzɪk,music,476,1,,1
11539,hledání,search,sˈɜːtʃ,search,477,1,,1
11540,sport,sport,spˈɔːɹt,sport,478,1,,1
11541,údolí,valley,vˈæli,valley,479,1,,1
11542,chůze,walk,wˈɔːk,walk,480,1,,1
11543,letiště,airport,ˈɛɹpɔːɹt,airport,481,1,,1
11544,karta,card,kˈɑːɹd,card,483,1,,1
11545,centrální,central,sˈɛntɹəl,central,484,1,,1
11546,směr,direction,dᵻɹˈɛkʃən,direction,485,1,,1
